ID,X,Y,size,production,is_outdoor,is_commercial,multisite
1,644373.354862432,6448567.74999233,30,FaFi,0,0,0
2,979489.750430953,6595186.11074794,447,FaFi,0,1,0
3,694046.454724333,6419328.12309118,3,Fi,1,0,0
4,812009.92388704,6367233.38462665,8,Fi,1,0,0
5,1000389.07730087,6561434.26566864,508,Fi,0,1,0
6,688858.261144205,6496515.59243225,5,Fi,0,0,0
7,680927.832683185,6492502.45876114,1214,Fi,0,1,0
8,970649.363090182,6589150.16350936,3,Fi,0,1,0
9,730668.586008045,6576135.02440317,2,Fi,1,0,0
10,697326.266408308,6615340.20444462,347,Fi,0,1,0
11,851076.964792755,6451597.77985266,953,Fa,0,1,0
12,657607.952298804,6452562.75368653,133,FaFi,0,1,0
13,646299.778091984,6402672.3317901,3,Fi,1,0,0
14,801345.320551494,6503998.54148277,1312,Fi,1,1,0
15,869581.177339492,6443500.10594054,12,FaFi,1,0,0
16,665561.595180647,6483657.77520666,348,FaFi,0,1,0
17,756501.698147665,6457920.87372194,25,Fi,0,1,0
18,918296.623040663,6571557.15582013,6793,Fa,0,1,15
19,671095.656109078,6447185.26729716,5,Fi,1,0,0
20,989737.764916751,6467194.88623809,1,Fi,0,0,0
21,855025.819707263,6582136.87268277,8,Fi,0,0,0
22,848642.928213436,6353331.98537769,9,Fi,1,0,0
23,701433.350772666,6592470.84163591,8,Fi,1,0,0
24,734863.460341838,6533298.1190197,5,Fi,1,0,0
25,794370.863441877,6496120.49131485,221,FaFi,0,1,63
26,958368.742547275,6493622.11514723,773,Fi,0,1,0
27,982232.339445286,6569204.56533797,1496,FaFi,0,1,0
28,833866.284136019,6448335.07836763,7,Fi,0,0,0
29,791665.789932596,6510048.82923729,3,Fi,1,0,0
30,1003690.63208882,6499795.29659505,481,Fi,0,1,0
31,677068.535889779,6431087.0099074,2,Fi,1,0,0
32,977726.162808396,6512308.79432763,249,Fi,0,1,0
33,681317.909320117,6622541.35931731,3,Fi,0,0,0
34,705915.926339485,6447296.51757434,3805,Fi,0,1,27
35,821524.799690941,6496234.89474213,18,FaFi,1,0,0
36,995870.762579496,6522255.2725845,12,Fi,1,0,0
37,782886.212642608,6515537.33770674,5,Fi,0,0,0
38,855331.051244499,6356558.31569894,4,Fi,1,0,0
39,739607.092163764,6598932.5211529,120,FaFi,0,1,0
40,771948.82043675,6481309.27858581,1619,FaFi,0,1,0
41,729838.106281781,6573468.47757089,13865,Fa,0,1,54
42,977326.988081748,6454694.06637386,148,Fi,0,1,0
43,778648.808568615,6496158.64603353,12,FaFi,1,0,0
44,847413.068603501,6351142.12287387,108,Fa,1,0,0
45,776372.958302135,6519772.70460186,277,FaFi,0,1,0
46,883533.671651254,6513838.15004882,593,FaFi,0,1,0
47,768454.285189432,6528727.10033837,426,FaFi,0,1,0
48,911995.318637487,6523427.55762966,471,FaFi,0,1,0
49,921535.618073526,6405473.17955677,1497,FaFi,0,1,65
50,701318.963900255,6405833.38330046,2,Fi,1,0,0
51,998752.099511712,6556232.53457424,3403,Fi,0,1,0
52,848346.137275858,6581655.41561008,784,FaFi,0,1,99
53,692749.195069743,6442231.93258778,6,Fi,1,0,0
54,795699.887962604,6435384.49517311,1,Fi,0,0,0
55,786190.117698972,6493962.21636406,562,Fi,0,1,0
56,658269.647423433,6527753.18445224,1115,FaFi,0,1,0
57,737655.313967252,6441735.27661222,2,Fi,1,0,0
58,934651.03893841,6460185.60151528,3,Fi,1,0,0
59,725507.9962028,6453999.176727,1,Fi,1,0,0
60,697914.626189409,6612469.34239916,1331,Fi,0,1,0
61,689430.254854589,6570317.94362181,59,Fi,0,1,114
62,675272.560290203,6504566.36867849,4,Fi,1,0,0
63,908027.214273728,6423929.67004537,779,Fi,0,1,0
64,878448.408666083,6403758.23708365,822,Fi,1,1,0
65,708732.502224621,6448528.53736899,9,Fi,1,0,0
66,678381.793133696,6491043.67398759,8,Fi,1,0,0
67,722087.848357637,6448945.65235302,5,Fi,0,0,0
68,841013.607186293,6570860.7915579,135,FaFi,0,1,0
69,726169.326479609,6459995.31437095,393,Fi,0,1,0
70,988530.533138806,6534831.68139402,217,FaFi,0,1,0
71,937646.212676252,6421710.77926223,2,Fi,1,0,0
72,861328.248001975,6396348.00078722,6,Fi,1,0,0
73,736945.413370975,6583317.03988103,2,Fi,1,0,0
74,874605.576236155,6531942.84363509,2,Fi,0,0,0
75,836147.488609478,6489263.83832779,7,Fi,1,0,0
76,852334.813149788,6385442.70314038,351,FaFi,0,1,0
77,839532.401341632,6571972.4992162,917,Fi,0,1,0
78,712883.589695733,6546016.31532006,148,Fi,1,1,114
79,932605.571716137,6436844.84706507,2200,Fa,0,1,0
80,927015.373043699,6467253.91156835,332,Fi,0,1,0
81,734975.758097121,6585865.21342693,1167,FaFi,0,1,0
82,844028.320406906,6546806.4562759,440,Fi,0,1,0
83,915748.561828036,6561586.52299058,802,FaFi,0,1,0
84,848151.423230333,6440767.87582869,955,FaFi,0,1,76
85,958781.504128483,6564501.35094014,681,Fa,0,1,0
86,743486.995591864,6585362.76407881,9010,Fa,0,1,79
87,899385.938904044,6457417.64941155,547,Fi,0,1,0
88,785639.878831795,6481041.22485772,1426,Fi,0,1,0
89,784107.191245416,6496285.10477338,4,Fi,1,1,0
90,764990.60138434,6559219.42720641,60,FaFi,0,0,0
91,772792.4667345,6427599.5191571,2,Fi,0,0,0
92,881038.402688372,6380669.46290947,4784,Fa,0,1,0
93,709260.185279054,6508737.1281491,2219,Fi,1,1,0
94,965654.287672455,6450082.24759322,54,FaFi,0,1,0
95,710802.844968786,6589389.84638308,2,Fi,1,0,0
96,796261.982893239,6510432.30344467,327,Fi,0,1,99
97,813176.613022413,6370703.86465245,1,Fi,1,0,0
98,841044.751270758,6437575.45712198,1623,Fi,1,1,0
99,748197.793066518,6570362.49116027,1,Fi,0,0,0
100,854145.218592453,6571283.64578818,349,FaFi,0,1,0
101,824808.608769124,6395095.64861801,2,Fi,1,0,0
102,888420.556739897,6492834.13277907,653,FaFi,0,1,124
103,905496.486966127,6563755.84899417,2,Fi,1,0,0
104,941892.984749086,6436416.22800406,54,Fi,0,1,0
105,692211.656838415,6494156.29303814,3,Fi,1,0,0
106,664643.950645539,6528168.3507514,18,FaFi,0,0,0
107,699457.185909347,6597219.97997617,4,Fi,1,0,0
108,1013350.69272865,6474224.12032473,3276,Fi,0,1,0
109,870657.64126735,6530693.58540027,2,Fi,1,0,0
110,834500.948285661,6497064.88050565,5,Fi,1,0,0
111,940912.189770643,6455740.55106697,3,Fi,1,0,0
112,990961.974416573,6516206.69238797,6,Fi,0,0,0
113,703468.702039432,6576291.01107631,7,Fi,1,0,0
114,952862.002534182,6554596.63742766,2,Fi,0,0,0
115,818980.458509918,6520185.45619342,1218,FaFi,0,1,0
116,852484.785541912,6598054.13704221,1,Fi,1,0,0
117,785386.929819477,6435793.89849848,66,FaFi,1,0,0
118,845274.75748687,6579014.7254752,555,FaFi,1,1,0
119,669434.482275847,6543460.33389859,7,Fi,1,0,0
120,708167.093104338,6606137.46589922,404,FaFi,0,1,0
121,791450.043286026,6522082.95957181,1510,Fi,1,1,0
122,933983.417924927,6484687.27544751,6,Fi,1,0,0
123,798734.848001189,6494254.33615077,5,Fi,1,0,0
124,847073.770286162,6592789.4866866,86,FaFi,0,1,0
125,849685.531170394,6538467.6798263,4,Fi,1,0,0
126,843709.125148554,6398432.17605729,4912,Fa,0,1,31
127,703656.523200311,6592700.63748208,595,FaFi,0,1,0
128,777014.271793981,6424154.13620336,24,Fa,1,0,0
129,899423.938326252,6486720.77879011,838,FaFi,0,1,0
130,676722.150431485,6504947.59489006,6,Fi,0,0,0
131,683613.002420886,6604795.10276984,3,Fi,1,0,0
132,942151.83850101,6493662.24214077,2215,Fi,1,1,0
133,729596.097952473,6516035.89016656,327,FaFi,0,1,16
134,978875.694872543,6475297.57580948,9,Fi,1,0,0
135,747739.678367087,6623726.40015345,3,Fi,1,0,0
136,874133.170980534,6522884.94242985,1176,Fi,0,1,88
137,713522.525248123,6578855.27767529,7,Fi,0,0,0
138,769975.264850257,6441075.84437792,144,Fi,0,1,0
139,924009.569246603,6552599.77966306,3,Fi,1,0,0
140,857759.5326524,6566756.08111494,281,FaFi,0,1,0
141,952773.247152819,6570456.49515687,58,Fi,0,1,0
142,813845.875292076,6390779.03840032,235,Fa,0,1,0
143,838441.086076422,6552067.79956185,7,Fi,0,0,0
144,834516.030680876,6500458.57496133,2429,Fa,0,1,17
145,844830.882939474,6415470.34191437,1085,Fa,0,1,0
146,795977.883647336,6563075.531224,1143,Fi,0,1,92
147,868600.869259595,6434943.76117117,1469,Fi,0,1,0
148,1008848.27674482,6506064.18230726,2194,Fa,0,1,0
149,720389.873621696,6576799.99753519,3,Fi,1,0,0
150,973620.119881456,6529057.8678265,191,Fi,1,1,0
151,950097.164324616,6498437.11186947,354,Fi,0,1,0
152,712301.90562352,6545438.03576223,571,FaFi,0,1,0
153,685060.084932169,6510451.65074783,55,Fi,0,1,0
154,779807.753725155,6437094.44846552,10,Fi,0,0,0
155,774578.661598809,6465617.95004791,4,Fi,1,0,0
156,890576.25831483,6359041.3138723,2,Fi,1,0,0
157,752029.326301073,6450624.56073106,4,Fi,1,0,0
158,901346.412422875,6414196.08481891,7,Fi,1,0,0
159,746771.045976444,6460801.63854454,11,Fi,0,1,0
160,916640.431206279,6524614.90952874,137,FaFi,1,1,0
161,694839.766184519,6484643.66387476,5,Fi,1,0,0
162,834683.85378366,6485721.04210739,3,Fi,1,0,0
163,696438.756290702,6410696.62706378,1959,Fa,0,1,0
164,863041.786814242,6389871.75166314,5,Fi,0,0,0
165,872226.120927992,6490236.9521541,1,Fi,1,0,0
166,835825.693950161,6463160.48532712,6,Fi,1,0,0
167,837901.309378873,6468230.41788349,8,Fi,1,0,0
168,742282.195791101,6599406.16911205,1479,Fi,0,1,0
169,984940.545372483,6480336.15286134,270,FaFi,0,1,0
170,706201.000127829,6545340.62393987,658,Fi,0,1,0
171,745323.003270669,6418274.90802816,5,Fi,1,0,0
172,717092.568528235,6447479.33459955,1,Fi,1,0,0
173,777264.134972629,6408318.21213993,498,FaFi,0,1,0
174,959839.086529471,6457089.64195278,1438,FaFi,0,1,7
175,737956.051615379,6577439.99422737,87,Fi,1,1,33
176,737602.515382049,6585901.16547285,2,Fi,1,0,0
177,929537.68705001,6426721.12039724,385,Fi,1,1,0
178,773960.810728653,6536669.62443756,155,Fi,0,1,0
179,876321.398142352,6414941.14625784,9,Fi,1,0,0
180,963901.517284655,6495269.4885855,868,FaFi,0,1,0
181,861688.107394615,6392806.11226581,1,Fi,1,0,0
182,707767.12309143,6485037.96403275,536,Fi,0,1,0
183,871470.568981144,6422412.050656,113,Fi,0,1,0
184,976770.672299589,6472395.84608409,3374,Fi,0,1,0
185,747663.824492846,6544861.90028044,855,FaFi,0,1,73
186,957661.023491271,6545176.97223785,2,Fi,1,0,0
187,673419.332465102,6570291.82970407,1,Fi,1,0,0
188,718817.239671103,6525196.25420404,752,FaFi,0,1,0
189,787906.460044374,6478137.97794492,338,Fi,0,1,0
190,744315.02815448,6456194.55543814,5,Fi,0,0,0
191,801767.095904932,6545439.6832792,7,Fi,1,0,0
192,957857.480998812,6429867.94686573,336,FaFi,0,1,45
193,790848.152271956,6505810.18429577,9,Fi,0,0,0
194,973097.000126661,6450945.84105237,289,FaFi,1,1,0
195,766980.514190544,6476859.3186676,480,FaFi,0,1,0
196,787652.606365985,6462951.15074079,1523,FaFi,0,1,0
197,972875.329081933,6454738.10050324,8,Fi,1,0,0
198,784873.44909067,6554073.14064615,240,Fi,1,1,0
199,879367.711879879,6444366.80571368,958,FaFi,0,1,0
200,766838.831930961,6433761.5454948,241,FaFi,0,1,0
201,869551.62420022,6425098.80709859,403,Fi,0,1,110
202,763552.427830732,6416264.19344569,2,Fi,1,0,0
203,765400.096385001,6473674.39518306,1147,Fi,1,1,0
204,797332.980252916,6445684.86158878,3,Fi,1,0,0
205,762126.268074841,6583229.37285849,73,Fi,0,1,0
206,930058.295168561,6452926.83224159,381,FaFi,0,1,0
207,650768.242824637,6438544.3799072,1934,Fi,1,1,87
208,871608.707204406,6475852.65361033,611,FaFi,0,1,50
209,711214.894556367,6596958.46170822,6,Fi,0,0,0
210,692953.873578804,6583008.53281968,5441,Fa,0,1,0
211,780809.355743722,6499504.39977419,3,Fi,1,0,0
212,1012120.28025687,6489154.20228024,2,Fi,0,0,0
213,980650.656784278,6460435.67732909,10,Fi,1,0,0
214,996775.541663688,6504152.03635097,4,Fi,1,0,0
215,977870.685775341,6591720.60353428,7,Fi,1,0,0
216,982609.954144048,6579052.5845968,427,Fi,0,1,30
217,880648.174652639,6514222.16208058,48,FaFi,1,0,0
218,665230.282428045,6526377.78996587,382,FaFi,1,1,0
219,923195.282297659,6466692.68702644,820,Fi,0,1,0
220,949714.415576026,6456362.77025666,250,FaFi,0,1,98
221,846062.318401306,6586029.34690128,194,FaFi,0,1,0
222,845788.548466759,6407559.88019422,1455,Fi,0,1,0
223,655692.439006659,6601596.15403625,262,Fi,1,1,0
224,788977.970482944,6417568.74649039,4638,Fi,0,1,0
225,1006925.22174264,6545428.94598021,4,Fi,0,0,0
226,722184.431476309,6515742.09487126,8,Fi,1,0,0
227,842807.363419189,6553730.73249291,1,Fi,1,0,0
228,875248.465300393,6574938.83547202,1227,Fi,0,1,0
229,709051.815620622,6607827.00628097,6,Fi,1,0,0
230,863203.80160681,6429874.50880444,2,Fi,1,0,0
231,727132.939510839,6447412.24692438,99,FaFi,0,1,0
232,975869.960672312,6469381.35879778,12,FaFi,0,1,0
233,756127.119530597,6494483.73708805,6,Fi,1,0,0
234,824209.843837512,6380067.89947672,3,Fi,1,0,0
235,990643.593450853,6505664.9714414,1,Fi,1,0,0
236,815279.985301844,6505677.05618988,3,Fi,0,0,0
237,867584.659911961,6541740.09227361,5,Fi,1,0,0
238,816436.56966193,6392737.03078905,9,Fi,1,0,0
239,644404.650438867,6402926.65228988,7,Fi,1,0,0
240,961858.479617184,6486068.7572529,1931,Fi,0,1,0
241,710087.37131274,6469775.98563937,1121,Fa,0,1,0
242,824931.134934286,6425988.920526,1716,FaFi,0,1,0
243,859770.961976803,6518989.03796476,6,Fi,0,0,0
244,745228.702407411,6578054.87706628,524,Fi,0,1,59
245,914845.837015954,6416061.73874719,143,Fi,1,1,0
246,712573.244792074,6598154.54472512,4220,Fi,0,1,0
247,781403.415666417,6414689.82491982,5,Fi,1,0,0
248,871525.843705397,6582322.62098833,5,Fi,1,0,0
249,678971.274756626,6543872.69367615,5,Fi,0,0,0
250,682972.32396549,6611780.77782821,7,Fi,1,0,0
251,943371.832406011,6504777.86233392,17,Fi,0,1,0
252,994075.33918958,6520979.46838429,3,Fi,0,0,0
253,790864.493466685,6554154.54022664,1,Fi,1,0,0
254,720757.370967424,6465076.58986332,606,Fi,0,1,0
255,850037.914536786,6478743.38799108,6,Fi,1,0,0
256,692994.972903124,6511172.56187816,3115,Fi,0,1,0
257,695921.17214194,6542806.34524469,4825,Fa,1,1,66
258,697126.742539312,6574875.72033819,871,Fi,0,1,0
259,712193.616535833,6603042.06665068,7,Fi,1,0,0
260,853475.571630081,6530559.93329389,701,Fi,0,1,0
261,725192.554050868,6465011.3344361,486,FaFi,0,1,0
262,747216.69473146,6507542.6216041,3,Fi,1,0,0
263,672112.670618832,6429875.50219769,84,Fa,0,0,0
264,758444.833103044,6566484.03937101,235,Fi,0,1,0
265,679075.854992929,6501498.98622808,2002,Fi,0,1,109
266,714069.958532459,6555738.48023809,4,Fi,1,0,0
267,757092.729255809,6451213.78914131,5,Fi,0,0,0
268,800668.515733281,6443631.14987383,4,Fi,1,0,0
269,726951.018617478,6541073.60896928,767,FaFi,0,1,0
270,712142.790979814,6425617.89901598,11,Fi,1,0,0
271,726308.265392903,6571275.50070635,7,Fi,1,0,0
272,690288.519475288,6529687.35445393,57,FaFi,0,1,0
273,986577.437073956,6579437.73039259,1033,Fi,0,1,70
274,674660.57223383,6456783.40977846,1710,Fi,0,1,0
275,657684.898853135,6429098.1580918,3,Fi,1,0,0
276,865801.113268908,6547949.58278094,6,Fi,1,0,0
277,698053.862403366,6616353.26115247,5,Fi,1,0,0
278,684708.540734396,6587370.00047819,9,Fi,1,0,0
279,832896.41782185,6512135.42368538,259,Fi,0,1,0
280,789977.451707096,6457817.93241858,6,Fi,1,0,0
281,652151.301996969,6421385.99414171,18,Fi,0,1,0
282,884450.098380984,6379991.69664138,54,FaFi,0,0,0
283,789404.539262198,6506360.21019267,8,Fi,1,0,0
284,699251.763356698,6579680.71896045,1450,Fi,1,1,110
285,857219.105825103,6422720.80984832,582,Fi,0,1,0
286,975973.188288427,6580361.2593569,14,Fi,0,0,0
287,734544.532663399,6500329.98610687,3319,Fi,1,1,0
288,952451.508674104,6473336.15056071,8,Fi,1,0,0
289,919661.522928287,6423998.83542823,323,Fi,0,1,5
290,704454.709515576,6627129.23129604,5,Fi,1,0,0
291,877642.398340249,6420776.10295943,4,Fi,1,0,0
292,688789.683542961,6595716.15461265,402,Fi,0,1,0
293,709210.062586149,6511540.2746679,542,Fi,0,1,0
294,876013.47999844,6476908.48427419,1047,Fi,1,1,0
295,999182.726244696,6459658.30007342,969,FaFi,1,1,0
296,711250.835979725,6476686.75992006,999,Fi,0,1,0
297,752350.229990088,6588418.76136508,5,Fi,1,0,0
298,860476.941483868,6476663.12508379,5,Fi,1,0,0
299,986322.088134417,6472270.81539861,66,FaFi,0,1,0
300,848843.725229894,6601755.26930663,3458,Fa,0,1,19
301,803454.481855262,6433699.62389091,578,Fi,0,1,0
302,843395.796989737,6358106.10731044,18,FaFi,1,0,0
303,711600.362800111,6470232.45444283,3258,Fa,0,1,77
304,714578.091948756,6484050.42193298,1161,Fi,0,1,0
305,837275.287818183,6538925.96891077,7,Fi,1,0,0
306,906273.556642365,6490704.01265883,106,Fi,0,1,0
307,704415.6951158,6553915.12062552,6,Fi,1,0,0
308,722196.939253378,6506600.07497757,3,Fi,1,0,0
309,881493.141800119,6509077.57599443,284,FaFi,0,1,0
310,765759.753974684,6565186.68904631,7,Fi,1,0,0
311,739121.977234949,6611700.29557527,626,FaFi,0,1,0
312,732261.536746149,6621191.24298888,758,FaFi,0,1,0
313,913936.449445405,6413928.82441615,512,FaFi,0,1,0
314,843456.975428741,6422696.38945835,2,Fi,1,0,0
315,986930.856567164,6476059.32912972,4,Fi,1,0,0
316,724437.851148501,6613235.75876671,5,Fi,1,0,0
317,650898.366973603,6398798.31932147,5,Fi,0,0,0
318,865238.456159583,6437667.9096122,9,Fi,1,0,0
319,855657.587248445,6448365.10966876,624,FaFi,0,1,49
320,968214.23401711,6573164.19573205,4898,Fa,0,1,103
321,673897.89028852,6578452.99660258,203,Fi,1,1,0
322,887423.791097822,6473743.22377233,535,FaFi,0,1,0
323,935619.418003919,6537091.15659651,3058,Fi,1,1,0
324,694786.902754044,6475702.89118823,551,FaFi,0,1,0
325,680639.468929003,6484258.7259873,4,Fi,0,0,0
326,781572.112037489,6449756.70319125,5,Fi,1,0,0
327,716012.815938897,6532095.79345749,503,FaFi,0,1,0
328,755351.65701087,6590194.71086557,1209,FaFi,0,1,0
329,900592.216543449,6445607.09878767,13,Fi,1,0,0
330,853777.660128193,6565568.84661563,141,FaFi,0,1,0
331,850115.121403888,6575747.81836867,2,Fi,1,0,0
332,683485.843359222,6607752.83417965,143,Fi,0,1,0
333,762357.161402887,6452381.95776678,2,Fi,0,0,0
334,701359.402287284,6625967.25638528,6,Fi,1,0,0
335,869380.065134021,6456093.86481284,4,Fi,0,0,0
336,745042.124952751,6530385.55763534,5,Fi,1,0,0
337,680727.333433232,6588556.05224532,3228,FaFi,0,1,113
338,820476.653115458,6565504.1603744,870,Fi,0,1,0
339,780687.170202572,6516899.19339313,5,Fi,0,0,0
340,782067.247889947,6481410.8383958,661,FaFi,0,1,27
341,652662.693608649,6457308.85008667,424,Fi,0,1,0
342,856704.66881488,6429139.18129881,2,Fi,1,0,0
343,794772.580364036,6503962.77939477,443,FaFi,0,1,96
344,669656.849661894,6552654.91250666,3,Fi,0,0,0
345,871311.188807232,6443656.76991475,4,Fi,1,0,0
346,877202.467708347,6527829.06376765,10,Fi,1,0,0
347,895736.680323618,6491082.24356006,48,Fa,0,0,0
348,846476.867047385,6416445.94830216,9,Fi,1,0,0
349,816873.719680147,6508415.57176296,3,Fi,0,0,0
350,897320.315237237,6490290.47585745,4,Fi,0,0,0
351,988272.959335645,6496244.7836954,469,FaFi,0,1,0
352,849300.7574046,6359027.02892697,1585,Fa,0,1,115
353,650580.165077728,6405767.65208437,983,Fi,0,1,69
354,664082.115841337,6521601.18688838,4,Fi,0,0,0
355,643320.150169443,6434029.34165867,11,Fi,1,0,0
356,824172.908679004,6402222.09253338,5,Fi,1,0,0
357,836647.608603659,6527955.69726603,1184,Fi,0,1,0
358,694432.374462596,6465953.61565799,3,Fi,1,0,0
359,860272.16011679,6420188.65267082,11,Fi,0,0,0
360,952024.003271985,6509112.90672252,4,Fi,1,0,0
361,852593.074629599,6426399.05115223,1630,FaFi,0,1,24
362,644373.405266587,6417859.59049168,3,Fi,1,0,0
363,787715.813642102,6522829.70649178,693,Fi,0,1,0
364,692171.532149704,6492154.94781008,2024,FaFi,0,1,7
365,915825.019713619,6451253.44894291,42,FaFi,1,0,0
366,745704.896639321,6586435.02685893,11,Fi,1,0,0
367,819856.56247472,6489131.50712356,2,Fi,1,0,0
368,693002.746323201,6604614.70946183,3,Fi,1,0,0
369,672640.025720169,6481640.01966416,1168,Fi,0,1,10
370,703585.71235028,6593501.68024789,1042,Fi,0,1,0
371,674183.97663205,6544699.84506398,810,Fa,0,1,0
372,714105.678028466,6545022.58356333,2210,Fa,0,1,12
373,846490.371913671,6499403.86520049,6198,Fi,0,1,2
374,868837.366486181,6508334.4549873,298,FaFi,0,1,0
375,648524.803827299,6582341.26354899,7,Fi,1,0,0
376,698005.664105691,6622506.21737795,707,Fi,0,1,0
377,824989.45142351,6374008.37448553,6,Fi,0,0,0
378,822954.879977034,6373808.47252706,3,Fi,1,0,0
379,683236.721615444,6481665.41102655,1004,Fi,0,1,0
380,965108.699310625,6533728.5721856,945,Fi,1,1,0
381,829973.78265058,6550851.8963415,325,Fi,1,1,0
382,650635.797289489,6588926.92437496,6566,Fa,0,1,54
383,878465.222597748,6456183.40686169,9,Fi,0,0,0
384,776640.207653334,6445864.41838045,289,FaFi,0,1,0
385,707635.049764414,6433191.65297098,792,Fi,0,1,13
386,808596.966786197,6367849.07158864,6,Fi,1,0,0
387,963696.992596776,6586792.31053268,87,FaFi,0,1,0
388,673092.859629394,6537093.22529461,3,Fi,1,0,0
389,792799.746553861,6528343.33273472,2723,Fi,0,1,0
390,853085.447570386,6461198.04784062,230,FaFi,0,1,0
391,886432.770038713,6467235.50758988,1775,Fa,0,1,0
392,828117.974524054,6459448.96961362,550,FaFi,1,1,0
393,903464.963247406,6420706.41343852,9,Fi,1,0,0
394,746391.943283675,6618970.77875997,859,Fi,0,1,0
395,868483.549349844,6490732.90682594,84,FaFi,1,1,0
396,711147.75370646,6552712.97319184,6,Fi,1,0,0
397,808618.122183317,6426208.21497312,89,Fi,0,1,0
398,687730.02655913,6614877.26847508,508,Fi,0,1,72
399,682909.860453456,6503304.41042962,8,Fi,1,0,0
400,851853.014087653,6434586.2300432,6,Fi,1,0,0
401,861095.860344464,6426409.7343249,6,Fi,1,0,0
402,751120.227459685,6586862.91084746,72,Fa,0,0,0
403,700331.978061763,6554448.56640129,4,Fi,1,0,0
404,976787.518281215,6526119.50655331,1600,Fa,0,1,0
405,684317.327535013,6614970.02646605,10,Fi,1,0,0
406,811855.315058012,6519563.70680913,425,Fi,1,1,116
407,723309.366406021,6562954.32273663,7,Fi,0,0,0
408,696943.556138305,6400100.29245982,4,Fi,1,0,0
409,758871.96825357,6602435.27476728,7,Fi,0,0,0
410,851495.074804494,6587460.7923841,1,Fi,0,0,0
411,823529.143458254,6502739.54993364,3,Fi,0,0,0
412,883581.950726012,6355615.40442475,268,Fi,0,1,0
413,837057.350034985,6438432.58829811,4,Fi,1,0,0
414,780566.021254079,6555025.68296551,542,Fi,0,1,118
415,796471.954211241,6536142.97306168,3,Fi,1,0,0
416,699949.315866704,6590886.79584775,1,Fi,0,0,0
417,842791.838194124,6576616.72487233,3498,Fi,0,1,53
418,755354.543557132,6512715.26513469,161,Fi,0,1,0
419,850336.122846654,6475838.41378173,1191,Fi,0,1,0
420,719613.509324121,6594052.13344694,48,FaFi,0,0,0
421,857015.081824708,6501459.44306971,3,Fi,1,0,0
422,1011264.45497367,6493520.04392266,695,Fi,0,1,75
423,775422.960076013,6461967.535034,1,Fi,1,0,0
424,722734.335495921,6475857.48660189,6,Fi,1,0,0
425,718513.53469963,6562172.64157929,7,Fi,1,0,0
426,806645.042315151,6423495.9774849,4,Fi,0,0,0
427,904616.344706147,6521555.08075967,3,Fi,1,0,0
428,656573.512578899,6412036.25891194,7,Fi,1,0,0
429,804099.760318681,6557386.44294479,1375,Fi,0,1,0
430,839028.310506263,6498646.83586265,545,FaFi,0,1,0
431,729428.970166156,6455664.60208198,619,FaFi,0,1,0
432,745269.129334714,6526002.77425023,34,Fi,0,1,0
433,806661.44416257,6430093.2864725,2,Fi,1,0,0
434,868289.194748366,6569416.31428804,2,Fi,1,0,0
435,836366.027422627,6391620.35630208,13,Fi,0,0,0
436,763026.277957026,6513373.6558329,978,Fi,0,1,117
437,835466.434748956,6468266.55369753,2540,Fa,0,1,101
438,636122.834209976,6426842.34731643,3,Fi,1,0,0
439,800151.00761001,6464581.55238148,3,Fi,1,0,0
440,966345.662831843,6545695.08293527,70,FaFi,0,1,0
441,800524.443142833,6492910.60239456,4,Fi,0,0,0
442,645766.854961977,6436153.1745983,5,Fi,0,0,0
443,710025.025099839,6572671.74826656,4359,Fi,0,1,13
444,789508.996795594,6424160.57255802,1973,FaFi,0,1,10
445,812922.811238876,6521953.75827156,321,Fi,0,1,84
446,674834.573153073,6471834.72903827,539,FaFi,1,1,0
447,789090.319760404,6433255.53343852,7,Fi,1,0,0
448,853119.968546894,6418369.41353567,2,Fi,0,0,0
449,698558.89908528,6617227.95676461,3,Fi,0,0,0
450,859468.883540889,6562926.79004921,10,Fi,1,0,0
451,703532.998455237,6442131.93735151,4925,Fa,0,1,64
452,718043.59188729,6571883.89051959,594,Fi,0,1,0
453,817594.882018062,6413890.8371658,4696,Fa,0,1,0
454,697153.415933621,6425998.15521798,582,FaFi,0,1,109
455,862636.767348498,6563630.52449978,391,Fi,0,1,7
456,954834.774014635,6501083.63595446,4231,Fi,0,1,0
457,663042.939621566,6444933.36021887,2936,Fa,0,1,80
458,831207.103563213,6568259.27140554,7,Fi,1,0,0
459,690551.321428456,6455764.10268489,690,Fi,0,1,73
460,936964.394181904,6578854.71853052,179,Fi,0,1,0
461,653523.515890829,6401772.6569871,1756,Fi,0,1,62
462,980764.203370047,6454098.30896836,181,Fi,0,1,0
463,713655.421811947,6608896.08152324,14,FaFi,0,1,0
464,650328.082159725,6585150.71870636,6948,Fa,0,1,0
465,985006.052326522,6543360.17648971,1155,Fi,1,1,0
466,886288.36874982,6361462.51465031,438,Fi,0,1,0
467,701960.189906887,6512631.98014279,4,Fi,1,0,0
