date,source,source.type,dest,dest.type,qty
1,240,FaFi,240,FaFi,27
1,240,FaFi,1786,FaFi,0
1,1376,FaFi,1376,FaFi,86
1,1399,FaFi,1399,FaFi,35
1,1951,FaFi,1951,FaFi,43
1,2040,FaFi,2040,FaFi,14
1,2059,FaFi,2059,FaFi,11
1,2059,FaFi,3000,Fi,0
1,2292,FaFi,2292,FaFi,9
1,3779,FaFi,3779,FaFi,69
1,3779,FaFi,2079,Fi,4
1,627,Fa,3021,FaFi,57
1,627,Fa,3771,Fi,240
1,627,Fa,3303,FaFi,24
1,627,Fa,1338,FaFi,3
1,627,Fa,3252,Fi,314
1,627,Fa,150,Fi,192
1,627,Fa,2312,FaFi,33
1,627,Fa,3900,Fi,72
1,627,Fa,725,Fi,1
1,627,Fa,630,FaFi,76
1,627,Fa,4021,Fi,343
1,627,Fa,664,FaFi,189
1,627,Fa,2771,Fi,295
1,627,Fa,946,Fi,109
1,695,Fa,2584,Fi,198
1,695,Fa,531,Fi,13
1,695,Fa,552,FaFi,73
1,695,Fa,3250,Fi,134
1,695,Fa,2930,Fi,691
1,695,Fa,706,Fi,28
1,695,Fa,2040,FaFi,8
1,695,Fa,3394,FaFi,4
1,695,Fa,4522,FaFi,20
1,695,Fa,365,Fi,3
1,695,Fa,4052,Fi,190
1,695,Fa,490,Fi,1
1,695,Fa,3780,FaFi,57
1,695,Fa,185,Fi,78
1,695,Fa,1900,Fi,354
1,695,Fa,1193,Fi,391
1,2453,Fa,2181,Fi,212
1,2453,Fa,3791,FaFi,3
1,2453,Fa,80,FaFi,67
1,2453,Fa,1469,FaFi,30
1,2453,Fa,774,FaFi,122
1,2453,Fa,2552,Fi,400
1,2453,Fa,1361,Fi,239
1,2453,Fa,3414,Fi,77
1,2453,Fa,1892,Fi,423
1,2453,Fa,1135,Fi,1
1,2453,Fa,552,FaFi,93
1,2453,Fa,1311,Fi,276
1,2453,Fa,2039,Fi,257
1,2453,Fa,625,Fi,422
1,3351,Fa,3055,Fi,68
1,3523,Fa,3422,Fi,600
1,3523,Fa,3844,Fi,313
1,3543,Fa,2842,Fi,12
1,3543,Fa,842,FaFi,25
1,3543,Fa,3209,Fi,3
1,3543,Fa,4563,Fi,2
1,3543,Fa,2608,FaFi,63
1,3543,Fa,1594,FaFi,1
1,3543,Fa,925,Fi,4
1,3543,Fa,2711,Fi,171
1,3543,Fa,330,Fi,151
1,3653,Fa,2450,Fi,10
1,3653,Fa,1952,Fi,179
1,3871,Fa,2272,FaFi,102
1,3871,Fa,4292,Fi,1
1,3871,Fa,1291,Fi,1
1,3871,Fa,3135,Fi,187
1,4479,Fa,993,Fi,171
1,4479,Fa,971,Fi,2
1,4479,Fa,4578,Fi,4
1,4479,Fa,3415,FaFi,9
1,4479,Fa,2746,Fi,332
1,4479,Fa,1790,Fi,640
1,4479,Fa,3461,Fi,298
1,4479,Fa,2301,Fi,220
1,166,FaFi,166,FaFi,3
1,166,FaFi,2503,Fi,0
1,308,FaFi,308,FaFi,176
1,308,FaFi,1385,Fi,18
1,411,FaFi,411,FaFi,180
1,548,FaFi,548,FaFi,1
1,548,FaFi,4296,Fi,4
1,598,FaFi,598,FaFi,131
1,722,FaFi,722,FaFi,58
1,722,FaFi,1472,FaFi,7
1,722,FaFi,4164,Fi,1
1,722,FaFi,1418,Fi,1
1,796,FaFi,796,FaFi,30
1,796,FaFi,1753,Fi,5
1,824,FaFi,824,FaFi,5
1,824,FaFi,1119,Fi,0
1,982,FaFi,982,FaFi,36
1,1148,FaFi,1148,FaFi,22
1,1237,FaFi,1237,FaFi,66
1,1237,FaFi,2311,FaFi,10
1,1237,FaFi,3567,FaFi,2
1,1321,FaFi,1321,FaFi,5
1,1321,FaFi,3624,Fi,1
1,1333,FaFi,1333,FaFi,11
1,1337,FaFi,1337,FaFi,11
1,1468,FaFi,1468,FaFi,25
1,1468,FaFi,1247,Fi,2
1,1483,FaFi,1483,FaFi,36
1,1953,FaFi,1953,FaFi,21
1,2009,FaFi,2009,FaFi,153
1,2009,FaFi,2216,Fi,11
1,2009,FaFi,1381,Fi,5
1,2014,FaFi,2014,FaFi,18
1,2425,FaFi,2425,FaFi,41
1,2583,FaFi,2583,FaFi,51
1,2649,FaFi,2649,FaFi,21
1,2733,FaFi,2733,FaFi,11
1,2834,FaFi,2834,FaFi,102
1,2971,FaFi,2971,FaFi,124
1,3084,FaFi,3084,FaFi,114
1,3151,FaFi,3151,FaFi,59
1,3161,FaFi,3161,FaFi,100
1,3287,FaFi,3287,FaFi,97
1,3622,FaFi,3622,FaFi,69
1,3622,FaFi,3012,Fi,12
1,3652,FaFi,3652,FaFi,59
1,3826,FaFi,3826,FaFi,80
1,3833,FaFi,3833,FaFi,20
1,3833,FaFi,1586,Fi,3
1,4073,FaFi,4073,FaFi,161
1,4073,FaFi,684,FaFi,21
1,4289,FaFi,4289,FaFi,74
1,4289,FaFi,3404,Fi,6
1,4375,FaFi,4375,FaFi,3
1,4385,FaFi,4385,FaFi,53
1,4398,FaFi,4398,FaFi,155
1,4398,FaFi,2468,FaFi,6
1,4398,FaFi,1483,FaFi,10
1,4410,FaFi,4410,FaFi,159
1,183,Fa,3466,Fi,293
1,202,Fa,4045,Fi,435
1,232,Fa,783,Fi,1
1,232,Fa,1179,Fi,225
1,2656,Fa,45,FaFi,167
1,2731,Fa,3127,Fi,63
1,2731,Fa,2073,Fi,2
1,2731,Fa,4619,Fi,103
1,2731,Fa,3962,FaFi,36
1,2731,Fa,3898,Fi,108
1,3438,Fa,2734,FaFi,2
1,3438,Fa,1408,FaFi,66
1,3438,Fa,3163,FaFi,14
1,3438,Fa,942,Fi,1
1,3438,Fa,420,Fi,5
1,3438,Fa,1041,Fi,0
1,3438,Fa,3322,Fi,56
1,3438,Fa,3020,Fi,36
1,3587,Fa,2637,Fi,36
1,4124,Fa,2995,Fi,777
1,4124,Fa,908,Fi,4
1,4124,Fa,4391,Fi,0
1,4124,Fa,4680,FaFi,34
1,4124,Fa,1849,FaFi,37
1,4124,Fa,1475,FaFi,85
1,4124,Fa,4010,Fi,120
1,4124,Fa,256,Fi,3
1,4124,Fa,4720,Fi,3
1,4124,Fa,2743,Fi,64
1,4124,Fa,755,Fi,74
1,4124,Fa,1918,FaFi,15
1,4124,Fa,3744,Fi,147
1,4124,Fa,2054,Fi,44
2,1704,FaFi,1704,FaFi,95
2,2445,FaFi,2445,FaFi,116
2,2646,FaFi,2646,FaFi,29
2,2680,FaFi,2680,FaFi,32
2,2745,FaFi,2745,FaFi,87
2,2745,FaFi,2193,Fi,12
2,3079,FaFi,3079,FaFi,164
2,3238,FaFi,3238,FaFi,326
2,3724,FaFi,3724,FaFi,94
2,3724,FaFi,1364,Fi,8
2,3907,FaFi,3907,FaFi,58
2,4247,FaFi,4247,FaFi,169
2,4355,FaFi,4355,FaFi,156
2,4355,FaFi,2722,FaFi,20
2,1880,Fa,2711,Fi,163
2,1880,Fa,4342,Fi,67
2,1880,Fa,2842,Fi,10
2,1880,Fa,507,Fi,1
2,1880,Fa,2342,FaFi,13
2,1880,Fa,2245,Fi,97
2,1880,Fa,181,FaFi,9
2,1880,Fa,4272,Fi,126
2,2405,Fa,949,Fi,417
2,2405,Fa,4046,Fi,796
2,2405,Fa,1319,FaFi,91
2,2405,Fa,2564,Fi,109
2,2405,Fa,699,FaFi,2
2,2405,Fa,1235,Fi,1
2,2405,Fa,2535,Fi,668
2,2405,Fa,4277,Fi,208
2,2405,Fa,1191,Fi,0
2,2405,Fa,3597,FaFi,142
2,2405,Fa,1747,Fi,21
2,2405,Fa,1982,FaFi,24
2,2405,Fa,4275,Fi,0
2,2405,Fa,894,Fi,1
2,2405,Fa,4761,Fi,0
2,2405,Fa,3134,Fi,219
2,2405,Fa,924,FaFi,28
2,2405,Fa,2336,Fi,10
2,2405,Fa,3188,Fi,14
2,2405,Fa,1632,Fi,71
2,2405,Fa,3020,Fi,151
2,2405,Fa,4719,Fi,2
2,2405,Fa,2228,Fi,2
2,2405,Fa,2822,FaFi,52
2,2405,Fa,4245,Fi,1
2,2405,Fa,4225,Fi,1
2,2405,Fa,4294,Fi,0
2,2405,Fa,1065,Fi,2
2,2405,Fa,1629,Fi,416
2,3117,Fa,541,Fi,135
2,3117,Fa,41,FaFi,32
2,3117,Fa,2673,FaFi,70
2,3117,Fa,131,Fi,1
2,3950,Fa,2252,Fi,191
2,4474,Fa,2494,Fi,16
2,4474,Fa,3882,FaFi,81
2,4474,Fa,1354,FaFi,1
2,4474,Fa,2622,FaFi,31
2,4474,Fa,4206,Fi,1
2,4474,Fa,49,Fi,370
2,4474,Fa,3564,Fi,285
2,137,FaFi,137,FaFi,53
2,423,FaFi,423,FaFi,79
2,423,FaFi,1221,Fi,13
2,451,FaFi,451,FaFi,101
2,590,FaFi,590,FaFi,91
2,781,FaFi,781,FaFi,71
2,1224,FaFi,1224,FaFi,3
2,1462,FaFi,1462,FaFi,92
2,1502,FaFi,1502,FaFi,16
2,1502,FaFi,2557,FaFi,2
2,1527,FaFi,1527,FaFi,85
2,1684,FaFi,1684,FaFi,34
2,1756,FaFi,1756,FaFi,34
2,1791,FaFi,1791,FaFi,29
2,1865,FaFi,1865,FaFi,121
2,1891,FaFi,1891,FaFi,52
2,2222,FaFi,2222,FaFi,32
2,2257,FaFi,2257,FaFi,6
2,2469,FaFi,2469,FaFi,47
2,2608,FaFi,2608,FaFi,71
2,2608,FaFi,3217,Fi,7
2,2822,FaFi,2822,FaFi,70
2,2837,FaFi,2837,FaFi,43
2,2847,FaFi,2847,FaFi,47
2,2863,FaFi,2863,FaFi,199
2,2863,FaFi,867,Fi,1
2,2863,FaFi,4165,Fi,0
2,2863,FaFi,4499,FaFi,15
2,2876,FaFi,2876,FaFi,42
2,2978,FaFi,2978,FaFi,76
2,3051,FaFi,3051,FaFi,12
2,3051,FaFi,544,Fi,1
2,3102,FaFi,3102,FaFi,30
2,3102,FaFi,284,Fi,2
2,3102,FaFi,4502,Fi,1
2,3164,FaFi,3164,FaFi,111
2,3454,FaFi,3454,FaFi,114
2,3683,FaFi,3683,FaFi,24
2,3683,FaFi,4588,Fi,8
2,3683,FaFi,2060,FaFi,0
2,3781,FaFi,3781,FaFi,104
2,4208,FaFi,4208,FaFi,0
2,4568,FaFi,4568,FaFi,3
2,348,Fa,2995,Fi,98
2,497,Fa,1822,FaFi,23
2,497,Fa,3212,FaFi,46
2,497,Fa,1347,FaFi,33
2,497,Fa,4362,Fi,0
2,497,Fa,4419,Fi,40
2,497,Fa,1659,FaFi,5
2,497,Fa,1686,Fi,150
2,1040,Fa,4639,Fi,0
2,1040,Fa,629,Fi,716
2,1040,Fa,344,Fi,99
2,1098,Fa,4650,Fi,3
2,1098,Fa,4662,Fi,1
2,1098,Fa,2303,Fi,0
2,1098,Fa,3763,FaFi,10
2,1551,Fa,4197,Fi,0
2,1551,Fa,1289,Fi,215
2,1551,Fa,4421,Fi,0
2,1551,Fa,4143,Fi,0
2,1551,Fa,390,Fi,1
2,1551,Fa,200,Fi,3
2,1551,Fa,1693,Fi,31
2,1607,Fa,3042,Fi,224
2,1607,Fa,1576,Fi,117
2,1607,Fa,2492,Fi,281
2,1607,Fa,3401,FaFi,104
2,1607,Fa,260,Fi,2
2,1607,Fa,3199,Fi,0
2,1638,Fa,1042,FaFi,226
2,2137,Fa,3075,FaFi,18
2,2983,Fa,1980,Fi,163
2,3266,Fa,4729,Fi,1
2,3266,Fa,2618,Fi,78
2,3541,Fa,1919,Fi,6
2,3541,Fa,1130,Fi,1
2,3541,Fa,2203,Fi,120
2,3541,Fa,4280,Fi,152
2,3541,Fa,3847,Fi,178
2,3541,Fa,45,FaFi,108
3,761,FaFi,761,FaFi,190
3,1402,FaFi,1402,FaFi,30
3,1785,FaFi,1785,FaFi,69
3,2001,FaFi,2001,FaFi,86
3,2091,FaFi,2091,FaFi,59
3,2091,FaFi,2394,Fi,10
3,2108,FaFi,2108,FaFi,20
3,2532,FaFi,2532,FaFi,128
3,2734,FaFi,2734,FaFi,1
3,2769,FaFi,2769,FaFi,43
3,2783,FaFi,2783,FaFi,20
3,2783,FaFi,1890,Fi,1
3,3707,FaFi,3707,FaFi,213
3,3976,FaFi,3976,FaFi,53
3,3976,FaFi,2234,FaFi,8
3,1506,Fa,170,Fi,1
3,1506,Fa,2057,Fi,153
3,1506,Fa,925,Fi,1
3,1506,Fa,2425,FaFi,50
3,1506,Fa,1341,FaFi,135
3,1506,Fa,4176,Fi,0
3,1506,Fa,2937,FaFi,4
3,1506,Fa,1596,Fi,16
3,1506,Fa,4271,FaFi,72
3,1506,Fa,3199,Fi,104
3,1506,Fa,3910,FaFi,99
3,1506,Fa,507,Fi,2
3,1506,Fa,550,FaFi,85
3,1506,Fa,3972,Fi,329
3,1506,Fa,546,FaFi,2
3,1806,Fa,2791,Fi,126
3,1806,Fa,2355,FaFi,58
3,1806,Fa,245,FaFi,113
3,1806,Fa,3173,Fi,178
3,3755,Fa,3490,Fi,20
3,3755,Fa,1901,FaFi,280
3,3755,Fa,1011,Fi,29
3,3755,Fa,620,Fi,10
3,3755,Fa,896,Fi,271
3,304,FaFi,304,FaFi,163
3,453,FaFi,453,FaFi,13
3,525,FaFi,525,FaFi,61
3,936,FaFi,936,FaFi,98
3,936,FaFi,1546,FaFi,9
3,1023,FaFi,1023,FaFi,13
3,1163,FaFi,1163,FaFi,39
3,1169,FaFi,1169,FaFi,19
3,1190,FaFi,1190,FaFi,12
3,1554,FaFi,1554,FaFi,56
3,1554,FaFi,3421,Fi,7
3,1692,FaFi,1692,FaFi,53
3,1823,FaFi,1823,FaFi,9
3,1896,FaFi,1896,FaFi,153
3,2241,FaFi,2241,FaFi,34
3,2372,FaFi,2372,FaFi,1
3,2372,FaFi,1129,Fi,1
3,2536,FaFi,2536,FaFi,21
3,2681,FaFi,2681,FaFi,10
3,2827,FaFi,2827,FaFi,120
3,2827,FaFi,3845,FaFi,10
3,2867,FaFi,2867,FaFi,52
3,2871,FaFi,2871,FaFi,68
3,2977,FaFi,2977,FaFi,34
3,3206,FaFi,3206,FaFi,163
3,3206,FaFi,1177,Fi,20
3,3237,FaFi,3237,FaFi,46
3,3237,FaFi,3186,Fi,4
3,3330,FaFi,3330,FaFi,16
3,3569,FaFi,3569,FaFi,19
3,3655,FaFi,3655,FaFi,68
3,3752,FaFi,3752,FaFi,76
3,3752,FaFi,443,Fi,1
3,3752,FaFi,1219,Fi,4
3,3752,FaFi,2517,FaFi,8
3,3873,FaFi,3873,FaFi,81
3,4034,FaFi,4034,FaFi,37
3,4140,FaFi,4140,FaFi,8
3,4193,FaFi,4193,FaFi,44
3,4193,FaFi,3794,Fi,5
3,4322,FaFi,4322,FaFi,92
3,4459,FaFi,4459,FaFi,83
3,4667,FaFi,4667,FaFi,5
3,1591,Fa,4467,Fi,1
3,1591,Fa,338,Fi,0
